tryms
InfantryUnit,jjj,100
RangedUnit,f,100
CavalryUnit,f,100
CavalryUnit,f,100
CavalryUnit,f,100
CavalryUnit,f,100
CavalryUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
CommanderUnit,f,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
WizardUnit,trym,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
SwordmasterUnit,f,100
